Time,Load,weekday,is_workday,Holiday_Info,Max_Temperature,Min_Temperature,Avg_Temperature,Avg_Humidity,Rainfall
2012-01-01,3967.259968,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-01,3563.567968,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-01,3283.864576,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-01,3101.586496,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-01,2972.481952,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-01,2872.967488,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-01,2825.230432,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-01,2721.898528,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-01,2674.310752,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-01,2940.903712,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-01,3182.945824,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-01,3328.061152,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-01,3179.526496,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-01,2905.11856,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-01,2820.243232,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-01,2820.690112,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-01,2944.5592,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-01,3173.022304,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-01,3635.882464,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-01,3777.948928,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-01,3690.874336,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-01,3705.40864,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-01,3621.380512,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-01,3257.207776,6,0,10,19.5,12.1,15.8,63.0,0.0
2012-01-02,2755.238848,0,0,10,20.0,13.0,16.0,59.0,0.0
2012-01-02,2439.974656,0,0,10,20.0,13.0,16.0,59.0,0.0
2012-01-02,2260.995136,0,0,10,20.0,13.0,16.0,59.0,0.0
2012-01-02,2152.093024,0,0,10,20.0,13.0,16.0,59.0,0.0
2012-01-02,2111.425024,0,0,10,20.0,13.0,16.0,59.0,0.0
2012-01-02,2126.911552,0,0,10,20.0,13.0,16.0,59.0,0.0
2012-01-02,2257.184896,0,0,10,20.0,13.0,16.0,59.0,0.0
2012-01-02,2561.512864,0,0,10,20.0,13.0,16.0,59.0,0.0
2012-01-02,4188.627807999999,0,0,10,20.0,13.0,16.0,59.0,0.0
2012-01-02,5474.480320000001,0,0,10,20.0,13.0,16.0,59.0,0.0
