Time,Load,Max_Temperature,Min_Temperature,Avg_Temperature,Avg_Humidity,Rainfall
2012-01-01,3967.259968,19.5,12.1,15.8,63.0,0.0
2012-01-01,3563.567968,19.5,12.1,15.8,63.0,0.0
2012-01-01,3283.864576,19.5,12.1,15.8,63.0,0.0
2012-01-01,3101.586496,19.5,12.1,15.8,63.0,0.0
2012-01-01,2972.481952,19.5,12.1,15.8,63.0,0.0
2012-01-01,2872.967488,19.5,12.1,15.8,63.0,0.0
2012-01-01,2825.230432,19.5,12.1,15.8,63.0,0.0
2012-01-01,2721.898528,19.5,12.1,15.8,63.0,0.0
2012-01-01,2674.310752,19.5,12.1,15.8,63.0,0.0
2012-01-01,2940.903712,19.5,12.1,15.8,63.0,0.0
2012-01-01,3182.945824,19.5,12.1,15.8,63.0,0.0
2012-01-01,3328.061152,19.5,12.1,15.8,63.0,0.0
2012-01-01,3179.526496,19.5,12.1,15.8,63.0,0.0
2012-01-01,2905.11856,19.5,12.1,15.8,63.0,0.0
2012-01-01,2820.243232,19.5,12.1,15.8,63.0,0.0
2012-01-01,2820.690112,19.5,12.1,15.8,63.0,0.0
2012-01-01,2944.5592,19.5,12.1,15.8,63.0,0.0
2012-01-01,3173.022304,19.5,12.1,15.8,63.0,0.0
2012-01-01,3635.882464,19.5,12.1,15.8,63.0,0.0
2012-01-01,3777.948928,19.5,12.1,15.8,63.0,0.0
2012-01-01,3690.874336,19.5,12.1,15.8,63.0,0.0
2012-01-01,3705.40864,19.5,12.1,15.8,63.0,0.0
2012-01-01,3621.380512,19.5,12.1,15.8,63.0,0.0
2012-01-01,3257.207776,19.5,12.1,15.8,63.0,0.0
2012-01-02,2755.238848,20.0,13.0,16.0,59.0,0.0
2012-01-02,2439.974656,20.0,13.0,16.0,59.0,0.0
2012-01-02,2260.995136,20.0,13.0,16.0,59.0,0.0
2012-01-02,2152.093024,20.0,13.0,16.0,59.0,0.0
2012-01-02,2111.425024,20.0,13.0,16.0,59.0,0.0
2012-01-02,2126.911552,20.0,13.0,16.0,59.0,0.0
2012-01-02,2257.184896,20.0,13.0,16.0,59.0,0.0
2012-01-02,2561.512864,20.0,13.0,16.0,59.0,0.0
2012-01-02,4188.627807999999,20.0,13.0,16.0,59.0,0.0
2012-01-02,5474.480320000001,20.0,13.0,16.0,59.0,0.0
2012-01-02,5863.57984,20.0,13.0,16.0,59.0,0.0
2012-01-02,6047.208927999999,20.0,13.0,16.0,59.0,0.0
2012-01-02,5070.9850240000005,20.0,13.0,16.0,59.0,0.0
2012-01-02,4592.504704,20.0,13.0,16.0,59.0,0.0
2012-01-02,5601.569728,20.0,13.0,16.0,59.0,0.0
2012-01-02,5748.364863999999,20.0,13.0,16.0,59.0,0.0
2012-01-02,5936.8895680000005,20.0,13.0,16.0,59.0,0.0
2012-01-02,5971.315455999999,20.0,13.0,16.0,59.0,0.0
2012-01-02,5575.7490880000005,20.0,13.0,16.0,59.0,0.0
2012-01-02,6154.809088,20.0,13.0,16.0,59.0,0.0
